"ObjectID","GlobalID","CreationDate","Creator","EditDate","Editor","Observer name","Date","Survey occasion","Site ID","Visibility","Observed species occurrence","x","y"
1,"hhbkcowo-8vk9-lxht-estr-48net11r5luw",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2011-06-01 12:00:00,1,"25","good","yes",0,0
2,"soiy189o-h2wy-cqfr-kng7-ih964oy79d41",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2012-06-01 12:00:00,1,"42","good","no",0,0
3,"udwluuye-or2v-pzwv-1cm0-rt66bqyo2fuq",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","malone_samuel",2013-06-01 12:00:00,1,"69","poor","no",0,0
4,"7660pode-eiiz-uutg-tpjs-dg66gsd1a0ox",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2014-06-01 12:00:00,1,"17","good","no",0,0
5,"o76glymb-q2nw-j279-257z-yseev9sawjgk",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","chambers_diane",2015-06-01 12:00:00,1,"61","poor","no",0,0
6,"a8y16xp5-a37b-wbos-tj0u-wwb6n95nc8z1",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2016-06-01 12:00:00,1,"76","good","no",0,0
7,"14pok94p-32li-8fyj-260v-pa0608js8pdq",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2017-06-01 12:00:00,1,"19","good","no",0,0
8,"593e0992-1p3v-9duj-2p03-1fpa4jdp7u52",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2018-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2018-06-01 12:00:00,1,"26","good","no",0,0
9,"gaxw2cyk-3k5b-iuyq-9j2q-zzxwjgtxiolf",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2019-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","tortelli_carla",2019-06-01 12:00:00,1,"9","poor","no",0,0
10,"74vl3ci9-55wy-25bl-ae7l-vjdlye1vy5r1",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2011-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2011-06-01 12:00:00,1,"90","good","no",0,0
11,"tfcyjokw-qonv-thf9-xt11-h0oqjco3oxy6",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2012-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2012-06-01 12:00:00,1,"46","poor","no",0,0
12,"ife1jueg-i1on-kwrx-wl6k-ln20os91agf8",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2013-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2013-06-01 12:00:00,1,"72","good","yes",0,0
13,"iw4mfq25-pija-vh5h-da0g-2d855m7r6ogb",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2014-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","pantusso_ernie",2014-06-01 12:00:00,1,"23","good","no",0,0
14,"nguasfop-qn55-x11p-9u86-olvwgkjk1qgx",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2015-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2015-06-01 12:00:00,1,"89","good","yes",0,0
15,"o8kkdefo-ojgc-qn94-6hec-nlzmr6wgiqcu",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2016-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","clavin_clifford",2016-06-01 12:00:00,1,"67","good","no",0,0
16,"o2reftkp-ook2-bx2h-38h9-0iqymcsj5tnm",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws",2017-06-01 12:00:00,"jared_laufenberg@fws.gov_fws","peterson_norman",2017-06-01 12:00:00,1,"84","good","yes",0,0
